datetime,kw
2024-01-01T00:00:00-08:00,2.13
2024-01-01T01:00:00-08:00,2.02
2024-01-01T02:00:00-08:00,1.95
2024-01-01T03:00:00-08:00,1.89
2024-01-01T04:00:00-08:00,1.86
2024-01-01T05:00:00-08:00,1.92
2024-01-01T06:00:00-08:00,2.15
2024-01-01T07:00:00-08:00,2.68
2024-01-01T08:00:00-08:00,3.25
2024-01-01T09:00:00-08:00,3.45
2024-01-01T10:00:00-08:00,3.68
2024-01-01T11:00:00-08:00,3.85
2024-01-01T12:00:00-08:00,3.92
2024-01-01T13:00:00-08:00,4.02
2024-01-01T14:00:00-08:00,4.15
2024-01-01T15:00:00-08:00,4.25
2024-01-01T16:00:00-08:00,4.58
2024-01-01T17:00:00-08:00,4.85
2024-01-01T18:00:00-08:00,5.12
2024-01-01T19:00:00-08:00,5.35
2024-01-01T20:00:00-08:00,5.58
2024-01-01T21:00:00-08:00,5.25
2024-01-01T22:00:00-08:00,4.68
2024-01-01T23:00:00-08:00,3.95